"","month","year","sum"
"272",6,2011,543.6
"273",6,2012,640.2
"274",6,2013,626.2
"275",6,2014,560.8
"276",6,2015,48
"277",7,1990,609.3
"278",7,1991,658.5
"279",7,1992,597.8
"280",7,1993,635.8
"281",7,1994,552.7
"282",7,1995,671.8
"283",7,1996,683.7
"284",7,1997,613.4
"285",7,1998,733.6
"286",7,1999,699
"287",7,2000,694.4
"288",7,2001,709.6
"289",7,2002,732.3
"290",7,2003,653.7
"291",7,2004,659.9
"292",7,2005,641.1
"293",7,2006,587.5
"294",7,2007,641.8
"295",7,2008,671
"296",7,2009,672.9
"297",7,2010,831.3
"298",7,2011,770.8
"299",7,2012,693.6
"300",7,2013,664.9
"301",7,2014,437.6
"302",8,1990,524.7
"303",8,1991,558.6
"304",8,1992,549.4
"305",8,1993,557.4
"306",8,1994,527.9
"307",8,1995,599.5
"308",8,1996,584.1
"309",8,1997,557.6
"310",8,1998,601.5
"311",8,1999,598.3
"312",8,2000,628.4
"313",8,2001,574.8
"314",8,2002,531.5
"315",8,2003,622.1
"316",8,2004,647.5
"317",8,2005,610.8
"318",8,2006,630.6
"319",8,2007,713.7
"320",8,2008,649.5
"321",8,2009,572.5
"322",8,2010,776
"323",8,2011,609.8
"324",8,2012,662.7
"325",8,2013,631.9
"326",8,2014,601.7
"327",9,1990,341.6
"328",9,1991,384.3
"329",9,1992,440.2
"330",9,1993,253.1
"331",9,1994,461.9
"332",9,1995,450.1
"333",9,1996,369.5
"334",9,1997,362.7
"335",9,1998,395.5
"336",9,1999,365.3
"337",9,2000,352.6
"338",9,2001,397.7
"339",9,2002,432.6
"340",9,2003,388.8
"341",9,2004,447.8
"342",9,2005,439.3
"343",9,2006,423.5
"344",9,2007,431.4
"345",9,2008,363.1
"346",9,2009,462.6
"347",9,2010,456.1
"348",9,2011,403.2
"349",9,2012,416.5
"350",9,2013,384.6
"351",9,2014,264.5
"352",10,1990,136.9
"353",10,1991,294.2
"354",10,1992,95.6
"355",10,1993,137.7
"356",10,1994,203.3
"357",10,1995,226.3
"358",10,1996,119.4
"359",10,1997,205.8
"360",10,1998,177.2
"361",10,1999,202.2
"362",10,2000,132.9
"363",10,2001,102.9
"364",10,2002,128.5
"365",10,2003,196.1
"366",10,2004,125.9
"367",10,2005,212.5
"368",10,2006,162.3
"369",10,2007,182.6
"370",10,2008,209.9
"371",10,2009,219.7
"372",10,2010,65.4
"373",10,2011,168
"374",10,2012,253.6
"375",10,2013,157.6
"376",10,2014,129
"377",10,2015,31.8
"378",11,1990,9.1
"379",11,1991,5.1
"380",11,1994,22.9
"381",11,1995,25.3
"382",11,1996,13.7
"383",11,1997,5.8
"384",11,1998,18.3
"385",11,1999,6.8
"386",11,2000,13.5
"387",11,2001,20
"388",11,2002,25.1
"389",11,2004,18.4
"390",11,2006,49.4
"391",11,2007,5.8
"392",11,2008,43.7
"393",11,2009,5.6
"394",11,2010,80
"395",11,2011,16.4
"396",11,2012,28.8
"397",11,2013,65.6
"398",11,2014,5.5
"399",11,2015,23.2
"400",12,2012,5.2
"401",1,1990,17.6
"402",1,1991,27.2
"403",1,1992,36.3
"404",1,1993,28.1
"405",1,1994,28.6
"406",1,1995,55.6
"407",1,1997,32.6
"408",1,1998,38.6
"409",1,1999,29.9
"410",1,2000,30.8
"411",1,2001,69.6
"412",1,2002,11.8
"413",1,2003,48.2
"414",1,2004,23.4
"415",1,2005,7.7
"416",1,2006,7.1
"417",1,2007,66.3
"418",1,2008,83.5
"419",1,2010,47.9
"420",1,2011,56.8
"421",1,2012,23.5
"422",1,2013,20.6
"423",2,1990,53.4
"424",2,1991,47.5
"425",2,1992,46.3
"426",2,1993,6.6
"427",2,1994,5.7
"428",2,1995,44.3
"429",2,1996,25.3
"430",2,1997,17.2
"431",2,1998,31.2
"432",2,1999,56.7
"433",2,2000,10.7
"434",2,2001,43.2
"435",2,2002,20.8
"436",2,2003,8.7
"437",2,2004,37.2
"438",2,2005,22.5
